,SampleName,replicate,dilution,wwtp,sample_date,filt_protocol,file_name,run_date,ChamberID,target,sample_type,pcr_mix,volume_mL,PCR_ID,spiked,TotalDroplets,SARS-N1_PositiveDroplets,SARS-N1_PosCtrl-PosDrops,SARS-N1_NTCtrl-PosDrops,SARS-N1_(gc/rxn),SARS-N1_(gc/eluate),SARS-N1_(gc/mLWW),SARS-N1_spiked-(gc/rxn),SARS-N1_spNTC-(gc/rxn),SARS-N1_InhibitionQuant,MHV_PositiveDroplets,MHV_PosCtrl-PosDrops,MHV_NTCtrl-PosDrops,MHV_(gc/rxn),MHV_(gc/eluate),MHV_(gc/mLWW),MHV_spiked-(gc/rxn),MHV_spNTC-(gc/rxn),MHV_InhibitionQuant,MHV_SpikeIn(gc),MHV_PercRecovery,failure,chip_counts,fail_counts,failure_rate
60,19_2023-03-30,A,1,ARA Altenrhein,2023-03-30,v4.2,20230330_N1MHV_03270328_17.xlsx,2023-03-30,S-0676292-6-A9,n1mhv,btc,qscript_xlt,40.0,V,False,26821,72.0,3450.0,0.0,129.4832996396832,2071.732794234932,51.79331985587329,375.4064537111421,372.4935313375173,0.75,0.0,2658.0,0.0,0.0,0.0,0.0,262.845619207381,267.5825860005944,0.98,438809.9838074066,0.0,0,12.0,0.0,0.0
61,19_2023-03-30,A,1,ARA Altenrhein,2023-03-30,v4.2,20230330_N1MHV_03270328_17.xlsx,2023-03-30,S-0676292-6-B9,n1mhv,btc,qscript_xlt,40.0,V,False,25638,86.0,3450.0,0.0,161.8513688480842,2589.621901569348,64.74054753923369,375.4064537111421,372.4935313375173,0.7,0.0,2658.0,0.0,0.0,0.0,0.0,262.845619207381,267.5825860005944,0.98,438809.9838074066,0.0,0,12.0,0.0,0.0
72,19_2023-03-28,A,3,ARA Altenrhein,2023-03-28,v4.2,20230330_N1MHV_03270328_17.xlsx,2023-03-30,S-0676278-0-A6,n1mhv,ww,qscript_xlt,40.0,U,False,26845,144.0,3264.0,0.0,259.0831399885045,12435.99071944821,310.8997679862053,659.4887267043213,378.1774055074592,1.03,797.0,2445.0,0.0,1451.762719383573,69684.6105304115,1742.115263260288,1783.536713528128,288.2992437104704,1.02,438809.9838074066,15.88036122737718,0,12.0,0.0,0.0
73,19_2023-03-28,A,3,ARA Altenrhein,2023-03-28,v4.2,20230330_N1MHV_03270328_17.xlsx,2023-03-30,S-0676278-0-B6,n1mhv,ww,qscript_xlt,40.0,U,False,25432,130.0,3264.0,0.0,246.858363006928,11849.20142433254,296.2300356083136,659.4887267043213,378.1774055074592,1.06,746.0,2445.0,0.0,1434.101266221802,68836.86077864651,1720.921519466163,1783.536713528128,288.2992437104704,1.04,438809.9838074066,15.68716832314803,0,12.0,0.0,0.0
86,19_2023-03-27,A,3,ARA Altenrhein,2023-03-27,v4.2,20230330_N1MHV_03270328_17.xlsx,2023-03-30,S-0676289-6-C5,n1mhv,ww,qscript_xlt,40.0,U,False,24279,124.0,3264.0,0.0,246.6464920666942,11839.03161920132,295.9757904800331,628.1920104226457,378.1774055074592,1.01,0.0,2445.0,0.0,0.0,0.0,0.0,308.4935835802455,288.2992437104704,1.07,438809.9838074066,0.0,0,12.0,0.0,0.0
87,19_2023-03-27,A,3,ARA Altenrhein,2023-03-27,v4.2,20230330_N1MHV_03270328_17.xlsx,2023-03-30,S-0676289-6-D5,n1mhv,ww,qscript_xlt,40.0,U,False,25357,129.0,3264.0,0.0,245.6809845889007,11792.68726026723,294.8171815066809,628.1920104226457,378.1774055074592,1.01,1.0,2445.0,0.0,1.89969265656847,91.18524751528656,2.279631187882164,308.4935835802455,288.2992437104704,1.06,438809.9838074066,0.02078012143755318,0,12.0,0.0,0.0
98,19_2023-03-26,A,3,ARA Altenrhein,2023-03-26,v4.2,20230329_N1MHV_03220326_17.xlsx,2023-03-29,S-0675288-0-A6,n1mhv,ww,qscript_xlt,40.0,V,False,28122,118.0,3440.0,0.0,202.5448484428174,9722.152725255235,243.0538181313809,678.1267734546115,378.1774055074592,1.17,1939.0,2631.0,0.0,3441.321915264394,165183.4519326909,4129.586298317273,3941.183655353305,288.2992437104704,1.06,438809.9838074066,37.64350357287901,0,12.0,0.0,0.0
99,19_2023-03-26,A,3,ARA Altenrhein,2023-03-26,v4.2,20230329_N1MHV_03220326_17.xlsx,2023-03-29,S-0675288-0-B6,n1mhv,ww,qscript_xlt,40.0,V,False,26628,128.0,3440.0,0.0,232.1079357553302,11141.18091625585,278.5295229063962,678.1267734546115,378.1774055074592,1.11,1907.0,2631.0,0.0,3579.4898310567,171815.5118907216,4295.38779726804,3941.183655353305,288.2992437104704,1.02,438809.9838074066,39.15487756225057,0,12.0,0.0,0.0
104,19_2023-03-25,A,3,ARA Altenrhein,2023-03-25,v4.2,20230329_N1MHV_03220326_17.xlsx,2023-03-29,S-0675342-9-C5,n1mhv,ww,qscript_xlt,40.0,V,False,24051,164.0,3440.0,0.0,329.5856373362965,15820.11059214223,395.5027648035558,761.2948664645207,378.1774055074592,1.08,0.0,2631.0,0.0,0.0,0.0,0.0,261.736227097834,288.2992437104704,0.91,438809.9838074066,0.0,0,12.0,0.0,0.0
105,19_2023-03-25,A,3,ARA Altenrhein,2023-03-25,v4.2,20230329_N1MHV_03220326_17.xlsx,2023-03-29,S-0675342-9-D5,n1mhv,ww,qscript_xlt,40.0,V,False,20763,170.0,3440.0,0.0,396.0185117834792,19008.888565607,475.222214140175,761.2948664645207,378.1774055074592,0.98,0.0,2631.0,0.0,0.0,0.0,0.0,261.736227097834,288.2992437104704,0.91,438809.9838074066,0.0,0,12.0,0.0,0.0
